-0.75,"[94, 0.00448226858915641, 0.006206878712542459, 242]"
-0.6000000238418579,"[87, 0.004958497933811404, 0.005956115550539481, 363]"
-0.3499999940395355,"[354, 0.006397596382690731, 0.005532430730315951, 212]"
-0.30000001192092896,"[93, 0.0033713655606159663, 0.003656070527679007, 452]"
-0.15000000596046448,"[229, 0.0034329133026939087, 0.006892114169003447, 344]"
-0.10000000149011612,"[51, 0.0006127855981489298, 0.0018273623962566984, 301]"
-0.05000000074505806,"[99, 0.00037222139618564516, 0.008614617489429013, 405]"
-0.05000000074505806,"[100, 0.001, 0.001, 64]"
-0.0,"[185, 0.0002993977071925267, 0.0012514012645436473, 106]"
-0.0,"[205, 0.0009475516909430442, 0.004762027517930584, 34]"
-0.0,"[212, 0.0004022057238130121, 0.002964939467192846, 356]"
-0.0,"[433, 0.00012682819494658315, 0.00931018849294294, 313]"
