0,-0.7941176295280457,"[0.01, 145, 'softmax', 34, 184, 0.004433158203486212]"
1,-0.7558139562606812,"[0.005988426574129486, 113, 'softmax', 86, 198, 0.009626677697289698]"
2,-0.71875,"[0.01, 175, 'softmax', 192, 10, 0.00655511698287967]"
3,-0.6954314708709717,"[0.0003824295589041193, 130, 'softmax', 197, 191, 0.00871536067340768]"
4,-0.692307710647583,"[0.0007607813538547077, 197, 'softmax', 39, 53, 0.0018201866808205487]"
5,-0.6842105388641357,"[0.00014940106157982256, 145, 'softmax', 114, 72, 0.0009228498049146682]"
6,-0.6705882549285889,"[0.01, 118, 'softmax', 85, 177, 0.001815707430193629]"
7,-0.6666666865348816,"[0.0009238736953069851, 190, 'sigmoid', 48, 25, 0.005877170984156262]"
8,-0.6620370149612427,"[0.0015471394770635246, 181, 'softmax', 216, 29, 0.006110287159940355]"
9,-0.6593406796455383,"[0.002088048795755714, 183, 'softmax', 182, 29, 0.002359489353651762]"
10,-0.6559139490127563,"[0.0033559927777054533, 121, 'sigmoid', 186, 198, 0.0031114188971387525]"
11,-0.6477272510528564,"[0.0004458265554722971, 197, 'softmax', 88, 5, 1e-06]"
12,-0.640625,"[0.0002849738485873341, 100, 'softmax', 256, 195, 0.009905279682666426]"
13,-0.63671875,"[0.0001, 100, 'softmax', 256, 200, 0.01]"
14,-0.5714285969734192,"[0.01, 101, 'softmax', 49, 8, 0.003989352004893326]"
15,-0.5,"[0.001, 100, 'sigmoid', 64, 50, 0.001]"
16,-0.43877550959587097,"[0.005908919759345687, 124, 'sigmoid', 98, 31, 0.0061616854063106016]"
17,-0.35593220591545105,"[0.00038315718071682585, 177, 'relu', 59, 34, 0.006820915170983143]"
18,-0.3362068831920624,"[0.0003949211277368951, 175, 'relu', 116, 100, 0.0005504985418514329]"
19,-0.3255814015865326,"[0.0002005569995903979, 161, 'sigmoid', 215, 118, 0.0009185069648633364]"
