-0.69130939245224,"[310, 0.00017373431701625509, 5.475448031151005e-05, 389]"
-0.6725711822509766,"[426, 0.0002987077979357659, 0.00039463199265290757, 430]"
-0.6476202011108398,"[393, 0.0004691768955337743, 0.0007683050598526541, 143]"
-0.5902085304260254,"[100, 0.001, 0.001, 64]"
-0.5866858959197998,"[364, 0.0013854692453577034, 0.003759817990646451, 147]"
-0.569724977016449,"[383, 0.0025526178562002948, 0.00585307555686603, 283]"
-0.5127977132797241,"[277, 0.002658876940180205, 0.006104201470222258, 86]"
-0.4967014789581299,"[80, 0.0029887817656710633, 0.0057244613034408915, 146]"
-0.39644530415534973,"[48, 0.0007161060139852565, 0.0015948490910154376, 316]"
-0.2950722575187683,"[206, 0.0007022717010587325, 0.005267182630358268, 392]"
-0.001345022232271731,"[497, 0.00011883670715899709, 0.009513399864666502, 436]"
-0.0,"[84, 0.0001984012146708991, 0.005109860477164527, 168]"
