0.9856752,0.9524374,0.9653476
0.9607517,0.9586626,0.9551689
0.9751828,0.9417678,0.9539772
0.9842043,0.7900562,0.8698425
0.9737344,0.9826827,0.9763799
0.9430769,0.9822432,0.9583685
0.9812569,0.8312116,0.8929885
0.9700618,0.9542467,0.9564905
0.9724686,0.9375567,0.9495884
0.975855,0.9578814,0.9632126
0.9802879,0.8086473,0.8797794
0.9683424,0.9403783,0.9493294
0.9806791,0.852466,0.9072205
0.9688271,0.9240335,0.9407793
0.9792496,0.9306064,0.9486548
0.8340416,0.9572779,0.8823912
0.9739881,0.9357343,0.9435734
0.9828144,0.8908035,0.9315
0.9745263,0.7221755,0.8196302
0.9867594,0.9006075,0.9354508
0.9790804,0.9583281,0.9660424
0.8466276,0.8626266,0.8435203
0.9802489,0.9690727,0.9712841
0.9480034,0.657024,0.771928
0.9786981,0.7921482,0.8722856
0.9620623,0.8274041,0.885277
0.9874386,0.8277728,0.8976525
0.9654088,0.8453293,0.8886054
0.9670836,0.9504199,0.9499379
0.9749837,0.7418509,0.8370083
0.9736167,0.9627895,0.9650634
0.9779267,0.9431342,0.9509866
0.972558,0.7205348,0.8194321
0.9809532,0.976128,0.9765551
0.9842581,0.9458334,0.9620714
0.9784746,0.8707086,0.9131766
0.9809919,0.8328674,0.8939374
0.9753044,0.8282178,0.8925472
0.9891382,0.9698764,0.9774024
0.9816637,0.8816936,0.9213204
0.9683665,0.9596556,0.9602237
