"syntax","SD_syntax","semantics_MF","SD_semantics_MF","semantics_BP","SD_semantics_BP","semantics_CC","SD_semantics_CC","embedding","weighting","PC1_removal","cat"
0.263866100125403,0.964558417374564,0.238558993065593,0.97112727488838,0.238558993065593,0.97112727488838,0.238558993065593,0.97112727488838,"DNADCC","none","CCR","DNADCC_none_CCR"
0.447044112234995,0.894509119785908,0.208752350292582,0.977967978402919,0.208752350292582,0.977967978402919,0.208752350292582,0.977967978402919,"DNADCC","none","none","DNADCC_none_none"
0.309511077103437,0.950894577838534,0.254809002538255,0.966990563032641,0.254809002538255,0.966990563032641,0.254809002538255,0.966990563032641,"DNAPse","none","CCR","DNAPse_none_CCR"
0.408619392013318,0.912702590179912,0.212554405793195,0.977148655561311,0.212554405793195,0.977148655561311,0.212554405793195,0.977148655561311,"DNAPse","none","none","DNAPse_none_none"
0.25414795045323,0.967164517784091,0.23645107597215,0.971642676558047,0.23645107597215,0.971642676558047,0.23645107597215,0.971642676558047,"random","none","CCR","random_none_CCR"
0.244468848439243,0.969656376238505,0.233815959957345,0.97228017057198,0.233815959957345,0.97228017057198,0.233815959957345,0.97228017057198,"random","SIF","CCR","random_SIF_CCR"
0.704472964201201,0.709722083174433,0.361735229629564,0.932279117139096,0.361735229629564,0.932279117139096,0.361735229629564,0.932279117139096,"random","SIF","none","random_SIF_none"
0.293567591589423,0.95593719174758,0.249203444380007,0.968450355315856,0.249203444380007,0.968450355315856,0.249203444380007,0.968450355315856,"random","TFIDF","CCR","random_TFIDF_CCR"
0.687550020554362,0.726128880306015,0.360056087820553,0.932928921479376,0.360056087820553,0.932928921479376,0.360056087820553,0.932928921479376,"random","TFIDF","none","random_TFIDF_none"
0.69905726573044,0.715057145896416,0.362470223370105,0.931993590359579,0.362470223370105,0.931993590359579,0.362470223370105,0.931993590359579,"random","none","none","random_none_none"
0.272882704356517,0.962046343994027,0.238586928601727,0.971120411880913,0.238586928601727,0.971120411880913,0.238586928601727,0.971120411880913,"seq2vec","none","CCR","seq2vec_none_CCR"
0.252693537247142,0.967545544066543,0.234687001011235,0.972070282732795,0.234687001011235,0.972070282732795,0.234687001011235,0.972070282732795,"seq2vec","SIF","CCR","seq2vec_SIF_CCR"
0.468691403205506,0.883358860618475,0.20754837727301,0.978224204442005,0.20754837727301,0.978224204442005,0.20754837727301,0.978224204442005,"seq2vec","SIF","none","seq2vec_SIF_none"
0.258473845930672,0.966017391515197,0.23849215204262,0.971143692465675,0.23849215204262,0.971143692465675,0.23849215204262,0.971143692465675,"seq2vec","TFIDF","CCR","seq2vec_TFIDF_CCR"
0.448355034030076,0.893852749494196,0.203819408615061,0.979007972432839,0.203819408615061,0.979007972432839,0.203819408615061,0.979007972432839,"seq2vec","TFIDF","none","seq2vec_TFIDF_none"
0.469218233029248,0.883079127548346,0.202679322907544,0.979244640050364,0.202679322907544,0.979244640050364,0.202679322907544,0.979244640050364,"seq2vec","none","none","seq2vec_none_none"
0.378028654083575,0.925791965811359,0.231015918969448,0.972949284875874,0.231015918969448,0.972949284875874,0.231015918969448,0.972949284875874,"termfreq","none","CCR","termfreq_none_CCR"
0.591234769231367,0.806494084584409,0.24094105569307,0.970539002992882,0.24094105569307,0.970539002992882,0.24094105569307,0.970539002992882,"termfreq","none","none","termfreq_none_none"
