"syntax","SD_syntax","semantics_MF","SD_semantics_MF","semantics_BP","SD_semantics_BP","semantics_CC","SD_semantics_CC","embedding","weighting","PC1_removal","cat"
0.209654899134266,0.97777488429705,0.265109371011807,0.964216286897336,0.265109371011807,0.964216286897336,0.265109371011807,0.964216286897336,"biophys","none","CCR","biophys_none_CCR"
0.235885101551582,0.971780236363497,0.293767183500198,0.955874449356157,0.293767183500198,0.955874449356157,0.293767183500198,0.955874449356157,"biophys","SIF","CCR","biophys_SIF_CCR"
0.216460708995302,0.976290730290421,0.256823820312174,0.966456308544071,0.256823820312174,0.966456308544071,0.256823820312174,0.966456308544071,"biophys","SIF","none","biophys_SIF_none"
0.239981142564539,0.970776808233336,0.28830429008479,0.957536389451368,0.28830429008479,0.957536389451368,0.28830429008479,0.957536389451368,"biophys","TFIDF","CCR","biophys_TFIDF_CCR"
0.217839233799676,0.97598405818928,0.263585866896365,0.964633900931576,0.263585866896365,0.964633900931576,0.263585866896365,0.964633900931576,"biophys","TFIDF","none","biophys_TFIDF_none"
0.221630070834159,0.975130188064208,0.27127297283221,0.96250029289247,0.27127297283221,0.96250029289247,0.27127297283221,0.96250029289247,"biophys","none","none","biophys_none_none"
0.22874909336034,0.973484742613065,0.279359767713243,0.960184205268016,0.279359767713243,0.960184205268016,0.279359767713243,0.960184205268016,"QSO","none","CCR","QSO_none_CCR"
0.219983620375237,0.975502945621655,0.268992741756217,0.96314008022593,0.268992741756217,0.96314008022593,0.268992741756217,0.96314008022593,"QSO","none","none","QSO_none_none"
0.229898771602959,0.973213868297347,0.279849212101265,0.960041661010295,0.279849212101265,0.960041661010295,0.279849212101265,0.960041661010295,"random","none","CCR","random_none_CCR"
0.237906000552006,0.971287454816722,0.292609558567057,0.956229473319723,0.292609558567057,0.956229473319723,0.292609558567057,0.956229473319723,"random","SIF","CCR","random_SIF_CCR"
0.324965001608847,0.945724646822241,0.4634434028173,0.886119670079339,0.4634434028173,0.886119670079339,0.4634434028173,0.886119670079339,"random","SIF","none","random_SIF_none"
0.241494587930736,0.970401414865422,0.276907484466427,0.960894328233303,0.276907484466427,0.960894328233303,0.276907484466427,0.960894328233303,"random","TFIDF","CCR","random_TFIDF_CCR"
0.327865508830122,0.944722986201554,0.462180974999624,0.886778816689059,0.462180974999624,0.886778816689059,0.462180974999624,0.886778816689059,"random","TFIDF","none","random_TFIDF_none"
0.323913095053807,0.946085452691647,0.467030162004339,0.884234412593105,0.467030162004339,0.884234412593105,0.467030162004339,0.884234412593105,"random","none","none","random_none_none"
0.240772648039212,0.970580796550834,0.295498799269244,0.955340527234234,0.295498799269244,0.955340527234234,0.295498799269244,0.955340527234234,"seq2vec","none","CCR","seq2vec_none_CCR"
0.240496607941334,0.970649234052704,0.294122023031366,0.955765318897819,0.294122023031366,0.955765318897819,0.294122023031366,0.955765318897819,"seq2vec","SIF","CCR","seq2vec_SIF_CCR"
0.214380830210244,0.976749563926768,0.246460737815676,0.969151005047787,0.246460737815676,0.969151005047787,0.246460737815676,0.969151005047787,"seq2vec","SIF","none","seq2vec_SIF_none"
0.227034933622833,0.973885953416072,0.2781480846643,0.96053592803787,0.2781480846643,0.96053592803787,0.2781480846643,0.96053592803787,"seq2vec","TFIDF","CCR","seq2vec_TFIDF_CCR"
0.206997293130739,0.978340967869987,0.24249579025806,0.970150744565786,0.24249579025806,0.970150744565786,0.24249579025806,0.970150744565786,"seq2vec","TFIDF","none","seq2vec_TFIDF_none"
0.214880370402336,0.97663978623009,0.245373439902903,0.969426877641375,0.245373439902903,0.969426877641375,0.245373439902903,0.969426877641375,"seq2vec","none","none","seq2vec_none_none"
0.240677665626446,0.97060435455902,0.296018650583746,0.955179566609126,0.296018650583746,0.955179566609126,0.296018650583746,0.955179566609126,"termfreq","none","CCR","termfreq_none_CCR"
0.22346180759875,0.974712045751976,0.256654309126544,0.966501340677815,0.256654309126544,0.966501340677815,0.256654309126544,0.966501340677815,"termfreq","none","none","termfreq_none_none"
